Keller LEX1 pressure data
Date	Time	Pressure (mBar)
03/04/2014	11:30:35	1032.7201
03/04/2014	11:30:36	1032.7570
03/04/2014	11:30:37	1032.7190
03/04/2014	11:30:38	1032.7324
03/04/2014	11:30:39	1032.4923
03/04/2014	11:30:40	1032.4609
03/04/2014	11:30:41	1032.4961
03/04/2014	11:30:42	1032.5659
03/04/2014	11:30:43	1032.3561
03/04/2014	11:30:44	1032.0635
03/04/2014	11:30:45	1032.3411
03/04/2014	11:30:46	1032.3197
03/04/2014	11:30:47	1032.4844
03/04/2014	11:30:48	1032.5758
03/04/2014	11:30:49	1031.9354
03/04/2014	11:30:50	1032.5118
03/04/2014	11:30:51	1032.2493
03/04/2014	11:30:52	1032.2646
03/04/2014	11:30:53	1032.1082
03/04/2014	11:30:54	1031.9884
03/04/2014	11:30:55	1032.0100
03/04/2014	11:30:56	1031.9988
03/04/2014	11:30:57	1031.9033
03/04/2014	11:30:58	1031.8821
03/04/2014	11:30:59	1031.9995
03/04/2014	11:31:00	1032.0208
03/04/2014	11:31:01	1031.6152
03/04/2014	11:31:02	NaN
03/04/2014	11:31:03	1031.7330
03/04/2014	11:31:04	1031.6357
03/04/2014	11:31:05	1031.4232
03/04/2014	11:31:06	1031.5085
03/04/2014	11:31:07	1031.4629
03/04/2014	11:31:08	1031.4687
03/04/2014	11:31:09	1031.4133
03/04/2014	11:31:10	1031.5082
03/04/2014	11:31:11	1031.4675
03/04/2014	11:31:12	1031.3695
03/04/2014	11:31:13	1030.7443
03/04/2014	11:31:14	1031.2245
03/04/2014	11:31:15	1031.5127
03/04/2014	11:31:16	1031.5127
03/04/2014	11:31:17	1031.2437
03/04/2014	11:31:18	1031.3002
03/04/2014	11:31:19	1031.2379
03/04/2014	11:31:20	1031.2719
03/04/2014	11:31:21	1030.8083
03/04/2014	11:31:22	1031.1072
03/04/2014	11:31:23	1031.0168
03/04/2014	11:31:24	1030.7562
03/04/2014	11:31:25	1030.6282
03/04/2014	11:31:26	1030.8417
03/04/2014	11:31:27	1030.9954
03/04/2014	11:31:28	1030.8239
03/04/2014	11:31:29	1030.7826
03/04/2014	11:31:30	1030.7034
03/04/2014	11:31:31	1030.7236
03/04/2014	11:31:32	1030.4626
03/04/2014	11:31:33	1030.7220
03/04/2014	11:31:34	1030.6259
03/04/2014	11:31:35	1030.6396
03/04/2014	11:31:36	1030.5598
03/04/2014	11:31:37	1030.5306
03/04/2014	11:31:38	1030.5159
